Name,Type 1,Type 2,HP,Attack,Defense,Speed,Sp. Def,Sp. Atk,Legendary,
Bulbasaur,Grass,Poison,45,49,49,45,65,65,False,
Ivysaur,Grass,Poison,60,62,63,60,80,80,False,
Venusaur,Grass,Poison,80,82,83,80,100,100,False,
Charmander,Fire,,39,52,43,65,50,60,False,
Charmeleon,Fire,,58,64,58,80,65,80,False,
Charizard,Fire,Flying,78,84,78,100,85,109,False,
Squirtle,Water,,44,48,65,43,64,50,False,
Wartortle,Water,,59,63,80,58,80,65,False,
Blastoise,Water,,79,83,100,78,105,85,False,
Caterpie,Bug,,45,30,35,45,20,20,False,
Metapod,Bug,,50,20,55,30,25,25,False,
Butterfree,Bug,Flying,60,45,50,70,80,90,False,
Weedle,Bug,Poison,40,35,30,50,20,20,False,
Kakuna,Bug,Poison,45,25,50,35,25,25,False,
Beedrill,Bug,Poison,65,90,40,75,80,45,False,
Pidgey,Normal,Flying,40,45,40,56,35,35,False,
Pidgeotto,Normal,Flying,63,60,55,71,50,50,False,
Pidgeot,Normal,Flying,83,80,75,101,70,70,False,
Rattata,Normal,,30,56,35,72,35,25,False,
Raticate,Normal,,55,81,60,97,70,50,False,
Spearow,Normal,Flying,40,60,30,70,31,31,False,
Fearow,Normal,Flying,65,90,65,100,61,61,False,
Ekans,Poison,,35,60,44,55,54,40,False,
Arbok,Poison,,60,85,69,80,79,65,False,
Pikachu,Electric,,35,55,40,90,50,50,False,
Raichu,Electric,,60,90,55,110,80,90,False,
Sandshrew,Ground,,50,75,85,40,30,20,False,
Sandslash,Ground,,75,100,110,65,55,45,False,
Nidoran?,Poison,,55,47,52,41,40,40,False,
Nidorina,Poison,,70,62,67,56,55,55,False,
Nidoqueen,Poison,Ground,90,92,87,76,85,75,False,
Nidoran?,Poison,,46,57,40,50,40,40,False,
Nidorino,Poison,,61,72,57,65,55,55,False,
Nidoking,Poison,Ground,81,102,77,85,75,85,False,
Clefairy,Fairy,,70,45,48,35,65,60,False,
Clefable,Fairy,,95,70,73,60,90,95,False,
Vulpix,Fire,,38,41,40,65,65,50,False,
Ninetales,Fire,,73,76,75,100,100,81,False,
Jigglypuff,Normal,Fairy,115,45,20,20,25,45,False,
Wigglytuff,Normal,Fairy,140,70,45,45,50,85,False,
Zubat,Poison,Flying,40,45,35,55,40,30,False,
Golbat,Poison,Flying,75,80,70,90,75,65,False,
Oddish,Grass,Poison,45,50,55,30,65,75,False,
Gloom,Grass,Poison,60,65,70,40,75,85,False,
Vileplume,Grass,Poison,75,80,85,50,90,110,False,
Paras,Bug,Grass,35,70,55,25,55,45,False,
Parasect,Bug,Grass,60,95,80,30,80,60,False,
Venonat,Bug,Poison,60,55,50,45,55,40,False,
Venomoth,Bug,Poison,70,65,60,90,75,90,False,
Diglett,Ground,,10,55,25,95,45,35,False,
Dugtrio,Ground,,35,80,50,120,70,50,False,
Meowth,Normal,,40,45,35,90,40,40,False,
Persian,Normal,,65,70,60,115,65,65,False,
Psyduck,Water,,50,52,48,55,50,65,False,
Golduck,Water,,80,82,78,85,80,95,False,
Mankey,Fighting,,40,80,35,70,45,35,False,
Primeape,Fighting,,65,105,60,95,70,60,False,
Growlithe,Fire,,55,70,45,60,50,70,False,
Arcanine,Fire,,90,110,80,95,80,100,False,
Poliwag,Water,,40,50,40,90,40,40,False,
Poliwhirl,Water,,65,65,65,90,50,50,False,
Poliwrath,Water,Fighting,90,95,95,70,90,70,False,
Abra,Psychic,,25,20,15,90,55,105,False,
Kadabra,Psychic,,40,35,30,105,70,120,False,
Alakazam,Psychic,,55,50,45,120,95,135,False,
Machop,Fighting,,70,80,50,35,35,35,False,
Machoke,Fighting,,80,100,70,45,60,50,False,
Machamp,Fighting,,90,130,80,55,85,65,False,
Bellsprout,Grass,Poison,50,75,35,40,30,70,False,
Weepinbell,Grass,Poison,65,90,50,55,45,85,False,
Victreebel,Grass,Poison,80,105,65,70,70,100,False,
Tentacool,Water,Poison,40,40,35,70,100,50,False,
Tentacruel,Water,Poison,80,70,65,100,120,80,False,
Geodude,Rock,Ground,40,80,100,20,30,30,False,
Graveler,Rock,Ground,55,95,115,35,45,45,False,
Golem,Rock,Ground,80,120,130,45,65,55,False,
Ponyta,Fire,,50,85,55,90,65,65,False,
Rapidash,Fire,,65,100,70,105,80,80,False,
Slowpoke,Water,Psychic,90,65,65,15,40,40,False,
Slowbro,Water,Psychic,95,75,110,30,80,100,False,
Magnemite,Electric,Steel,25,35,70,45,55,95,False,
Magneton,Electric,Steel,50,60,95,70,70,120,False,
Farfetch'd,Normal,Flying,52,65,55,60,62,58,False,
Doduo,Normal,Flying,35,85,45,75,35,35,False,
Dodrio,Normal,Flying,60,110,70,100,60,60,False,
Seel,Water,,65,45,55,45,70,45,False,
Dewgong,Water,Ice,90,70,80,70,95,70,False,
Grimer,Poison,,80,80,50,25,50,40,False,
Muk,Poison,,105,105,75,50,100,65,False,
Shellder,Water,,30,65,100,40,25,45,False,
